compatible_string,hardware_model,driver_file,first_version,subsystem
"arm,ethos-u65",ethos-u65,drivers/accel/ethosu/ethosu_drv.c,n/a,accel
"arm,ethos-u85",ethos-u85,drivers/accel/ethosu/ethosu_drv.c,n/a,accel
"rockchip,rk3588-rknn-core",rk3588-rknn-core,drivers/accel/rocket/rocket_drv.c,n/a,accel
"nvidia,tegra20-ahb",tegra20-ahb,drivers/amba/tegra-ahb.c,n/a,amba
"allwinner,sun4i-a10-ahci",sun4i-a10-ahci,drivers/ata/ahci_sunxi.c,n/a,ata
"allwinner,sun8i-r40-ahci",sun8i-r40-ahci,drivers/ata/ahci_sunxi.c,n/a,ata
"amcc,sata-460ex",sata-460ex,drivers/ata/sata_dwc_460ex.c,n/a,ata
"apm,xgene-ahci",XGENE_AHCI_V1,drivers/ata/ahci_xgene.c,n/a,ata
"apm,xgene-ahci-v2",XGENE_AHCI_V2,drivers/ata/ahci_xgene.c,n/a,ata
"arasan,cf-spear1340",cf-spear1340,drivers/ata/pata_arasan_cf.c,n/a,ata
ata-generic,ata-generic,drivers/ata/pata_of_platform.c,n/a,ata
"baikal,bt1-ahci",bt1-ahci,drivers/ata/ahci_dwc.c,n/a,ata
"brcm,bcm-nsp-ahci",BRCM_SATA_NSP,drivers/ata/ahci_brcm.c,n/a,ata
"brcm,bcm63138-ahci",BRCM_SATA_BCM7445,drivers/ata/ahci_brcm.c,n/a,ata
"brcm,bcm7216-ahci",BRCM_SATA_BCM7216,drivers/ata/ahci_brcm.c,n/a,ata
"brcm,bcm7425-ahci",BRCM_SATA_BCM7425,drivers/ata/ahci_brcm.c,n/a,ata
"brcm,bcm7445-ahci",BRCM_SATA_BCM7445,drivers/ata/ahci_brcm.c,n/a,ata
"calxeda,hb-ahci",hb-ahci,drivers/ata/sata_highbank.c,n/a,ata
"cavium,ebt3000-compact-flash",ebt3000-compact-flash,drivers/ata/pata_octeon_cf.c,n/a,ata
"cavium,octeon-7130-ahci",octeon-7130-ahci,drivers/ata/ahci_platform.c,n/a,ata
"cavium,octeon-7130-sata-uctl",octeon-7130-sata-uctl,drivers/ata/ahci_octeon.c,n/a,ata
"ceva,ahci-1v84",ahci-1v84,drivers/ata/ahci_ceva.c,n/a,ata
"cirrus,ep9312-pata",ep9312-pata,drivers/ata/pata_ep93xx.c,n/a,ata
"cortina,gemini-sata-bridge",gemini-sata-bridge,drivers/ata/sata_gemini.c,n/a,ata
"faraday,ftide010",ftide010,drivers/ata/pata_ftide010.c,n/a,ata
"fsl,imx27-pata",imx27-pata,drivers/ata/pata_imx.c,n/a,ata
"fsl,imx53-ahci",AHCI_IMX53,drivers/ata/ahci_imx.c,n/a,ata
"fsl,imx6q-ahci",AHCI_IMX6Q,drivers/ata/ahci_imx.c,n/a,ata
"fsl,imx6qp-ahci",AHCI_IMX6QP,drivers/ata/ahci_imx.c,n/a,ata
"fsl,imx8qm-ahci",AHCI_IMX8QM,drivers/ata/ahci_imx.c,n/a,ata
"fsl,ls1021a-ahci",AHCI_LS1021A,drivers/ata/ahci_qoriq.c,n/a,ata
